Order_ID,Agent_Age,Agent_Rating,Weather,Traffic,Vehicle,Area,Delivery_Time,Category
57,39,4.2,Fog,Jam ,scooter ,Semi-Urban ,245,Apparel
58,32,4.5,Windy,Low ,scooter ,Other,100,Shoes
59,36,4.7,Cloudy,Jam ,motorcycle ,Metropolitian ,150,Sports
60,25,4.8,Sandstorms,Low ,scooter ,Urban ,90,Cosmetics
61,33,4.9,Sunny,Jam ,scooter ,Metropolitian ,110,Books
62,30,4.4,Cloudy,Low ,scooter ,Metropolitian ,170,Shoes
63,33,5.0,Sandstorms,Low ,motorcycle ,Urban ,120,Jewelry
64,36,4.9,Fog,Medium ,scooter ,Metropolitian ,85,Pet Supplies
65,21,4.8,Sandstorms,Low ,van,Metropolitian ,70,Shoes
66,39,4.9,Stormy,Jam ,motorcycle ,Metropolitian ,150,Skincare
67,23,4.8,Stormy,Low ,scooter ,Metropolitian ,15,Grocery
68,35,4.8,Fog,Medium ,scooter ,Urban ,80,Apparel
69,39,4.6,Cloudy,Jam ,scooter ,Metropolitian ,180,Home
70,22,4.7,Sunny,High ,scooter ,Urban ,90,Sports
71,32,4.6,Fog,Medium ,scooter ,Metropolitian ,85,Outdoors
72,24,4.8,Sandstorms,Low ,motorcycle ,Urban ,75,Apparel
73,29,4.7,Fog,Low ,motorcycle ,Metropolitian ,85,Books
74,26,4.7,Fog,Low ,motorcycle ,Metropolitian ,50,Shoes
75,20,4.5,Fog,Jam ,motorcycle ,Metropolitian ,135,Sports
76,35,4.1,Sandstorms,Jam ,motorcycle ,Metropolitian ,185,Pet Supplies
77,39,4.6,Fog,Jam ,scooter ,Metropolitian ,220,Electronics
78,34,4.7,Windy,High ,van,Metropolitian ,140,Snacks
79,27,4.7,Cloudy,Jam ,scooter ,Metropolitian ,210,Apparel
80,30,4.8,Windy,Low ,motorcycle ,Metropolitian ,125,Sports
81,25,4.4,Cloudy,Medium ,scooter ,Metropolitian ,195,Jewelry
82,25,4.7,Stormy,Medium ,motorcycle ,Urban ,100,Electronics
83,30,5.0,Stormy,High ,motorcycle ,Metropolitian ,155,Kitchen
84,24,4.6,Stormy,Jam ,motorcycle ,Metropolitian ,65,Home
85,39,4.8,Stormy,Jam ,motorcycle ,Metropolitian ,140,Home
86,25,4.8,Windy,High ,scooter ,Urban ,95,Snacks
87,37,4.6,Fog,Low ,motorcycle ,Urban ,210,Kitchen
88,24,5.0,Fog,Low ,motorcycle ,Metropolitian ,115,Electronics
89,25,4.2,Stormy,Jam ,motorcycle ,Metropolitian ,195,Cosmetics
90,32,4.6,Stormy,Low ,motorcycle ,Metropolitian ,125,Outdoors
91,34,4.7,Sandstorms,Low ,scooter ,Metropolitian ,75,Clothing
92,38,4.9,Cloudy,Low ,scooter ,Urban ,75,Books
93,36,4.8,Sunny,Medium ,van,Metropolitian ,75,Home
94,25,5.0,Stormy,Jam ,motorcycle ,Metropolitian ,75,Electronics
95,29,5.0,Sunny,Low ,motorcycle ,Metropolitian ,90,Outdoors
96,36,4.7,Sandstorms,Low ,van,Metropolitian ,145,Clothing
97,33,4.7,Fog,Low ,motorcycle ,Metropolitian ,100,Snacks
98,36,4.4,Cloudy,High ,scooter ,Metropolitian ,195,Skincare
99,21,4.8,Windy,Low ,motorcycle ,Metropolitian ,95,Sports
100,25,4.8,Cloudy,Low ,scooter ,Urban ,19,Grocery
101,23,4.8,Windy,Low ,motorcycle ,Metropolitian ,85,Electronics
102,25,4.6,Stormy,Low ,motorcycle ,Urban ,75,Books
103,24,4.3,Sandstorms,Low ,motorcycle ,Urban ,95,Apparel
104,27,4.6,Sandstorms,Jam ,motorcycle ,Metropolitian ,145,Apparel
105,23,4.8,Cloudy,Low ,scooter ,Urban ,110,Jewelry
106,21,4.3,Fog,Jam ,scooter ,Metropolitian ,210,Books
107,27,4.7,Sandstorms,Low ,scooter ,Urban ,60,Sports
108,32,4.2,Cloudy,Jam ,motorcycle ,Metropolitian ,190,Skincare
109,25,4.6,Sunny,Low ,motorcycle ,Metropolitian ,115,Outdoors
110,39,4.7,Cloudy,Low ,scooter ,Metropolitian ,75,Books
111,27,4.6,Sunny,Low ,motorcycle ,Metropolitian ,120,Shoes
112,39,3.8,Windy,Jam ,motorcycle ,Metropolitian ,185,Books
113,31,4.8,Sandstorms,Low ,scooter ,Metropolitian ,120,Sports
114,31,4.8,Sunny,Low ,van,Metropolitian ,65,Kitchen
115,20,4.8,Cloudy,Low ,motorcycle ,Other,80,Sports
116,36,4.9,Cloudy,Medium ,motorcycle ,Urban ,210,Cosmetics
117,20,4.9,Sandstorms,Low ,motorcycle ,Metropolitian ,85,Toys
118,24,4.6,Cloudy,Jam ,motorcycle ,Metropolitian ,125,Jewelry
119,39,4.2,Fog,Medium ,scooter ,Metropolitian ,195,Clothing
120,37,4.8,Sunny,High ,scooter ,Metropolitian ,90,Shoes
121,32,4.9,Sandstorms,Medium ,motorcycle ,Metropolitian ,140,Books
122,22,4.5,Sandstorms,Low ,scooter ,Metropolitian ,90,Skincare
123,23,4.9,Windy,Low ,scooter ,Metropolitian ,90,Clothing
124,33,4.7,Fog,Jam ,scooter ,Metropolitian ,245,Apparel
126,27,4.6,Sunny,Low ,motorcycle ,Metropolitian ,105,Pet Supplies
127,34,4.7,Sunny,High ,scooter ,Metropolitian ,115,Toys
128,26,5.0,Fog,Low ,scooter ,Urban ,55,Sports
129,31,4.6,Cloudy,Jam ,motorcycle ,Metropolitian ,125,Snacks
130,32,4.9,Fog,Low ,motorcycle ,Metropolitian ,90,Books
131,27,4.7,Cloudy,Low ,motorcycle ,Metropolitian ,70,Shoes
132,21,4.9,Windy,Medium ,motorcycle ,Metropolitian ,180,Pet Supplies
133,28,4.8,Fog,Low ,motorcycle ,Metropolitian ,90,Kitchen
134,24,4.9,Fog,Medium ,scooter ,Urban ,85,Toys
135,33,4.4,Sandstorms,Low ,motorcycle ,Metropolitian ,140,Electronics
136,20,4.6,Fog,Jam ,motorcycle ,Metropolitian ,220,Home
137,31,4.3,Windy,Low ,motorcycle ,Metropolitian ,100,Toys
138,36,5.0,Fog,Jam ,motorcycle ,Metropolitian ,175,Shoes
139,31,4.2,Sandstorms,Jam ,motorcycle ,Metropolitian ,50,Grocery
140,39,4.1,Stormy,Jam ,scooter ,Metropolitian ,170,Electronics
141,29,4.6,Sunny,Jam ,van,Metropolitian ,85,Outdoors
142,29,4.6,Sandstorms,High ,scooter ,Urban ,115,Apparel
143,37,4.9,Fog,Medium ,motorcycle ,Metropolitian ,135,Books
144,33,4.7,Cloudy,High ,motorcycle ,Urban ,130,Skincare
145,31,3.9,Cloudy,Low ,scooter ,Metropolitian ,175,Pet Supplies
146,37,4.6,Windy,High ,motorcycle ,Urban ,205,Outdoors
147,26,4.4,Sandstorms,Low ,motorcycle ,Other,115,Toys
148,24,4.6,Stormy,Medium ,motorcycle ,Metropolitian ,150,Clothing
149,23,4.8,Windy,Low ,scooter ,Metropolitian ,95,Pet Supplies
150,36,4.9,Windy,Low ,scooter ,Metropolitian ,135,Electronics
151,39,4.8,Cloudy,High ,motorcycle ,Metropolitian ,140,Cosmetics
152,20,4.7,Sandstorms,Medium ,motorcycle ,Metropolitian ,120,Toys
153,20,5.0,Cloudy,Jam ,motorcycle ,Urban ,180,Sports
154,29,4.3,Sandstorms,Low ,motorcycle ,Metropolitian ,140,Cosmetics
155,36,4.8,Fog,Medium ,motorcycle ,Urban ,155,Snacks
156,36,4.0,Sunny,Jam ,motorcycle ,Metropolitian ,220,Skincare
157,22,4.8,Windy,Low ,scooter ,Metropolitian ,75,Cosmetics
158,38,4.4,Windy,Medium ,motorcycle ,Metropolitian ,165,Toys
159,39,4.9,Fog,Jam ,motorcycle ,Metropolitian ,150,Cosmetics
160,24,4.9,Stormy,Medium ,scooter ,Metropolitian ,110,Outdoors
161,30,4.1,Fog,Low ,motorcycle ,Metropolitian ,215,Sports
162,35,4.8,Fog,Medium ,motorcycle ,Metropolitian ,240,Jewelry
163,33,4.5,Stormy,Low ,van,Metropolitian ,95,Shoes
164,39,4.7,Windy,Medium ,motorcycle ,Urban ,105,Cosmetics
165,31,4.3,Windy,Jam ,motorcycle ,Metropolitian ,220,Outdoors
166,37,4.5,Windy,Low ,scooter ,Metropolitian ,130,Books
167,37,4.7,Windy,Low ,scooter ,Metropolitian ,26,Grocery
168,33,5.0,Windy,High ,motorcycle ,Metropolitian ,155,Sports
169,24,4.6,Stormy,Low ,scooter ,Urban ,19,Grocery
170,33,4.5,Sunny,Jam ,scooter ,Metropolitian ,90,Kitchen
171,39,4.7,Fog,Medium ,motorcycle ,Metropolitian ,190,Electronics
172,37,4.6,Cloudy,Medium ,motorcycle ,Metropolitian ,160,Outdoors
173,25,4.9,Sandstorms,Low ,scooter ,Metropolitian ,85,Jewelry
174,28,4.8,Fog,Medium ,scooter ,Urban ,55,Books
175,38,4.7,Windy,High ,motorcycle ,Metropolitian ,155,Cosmetics
176,31,4.6,Windy,Medium ,motorcycle ,Metropolitian ,125,Skincare
177,25,4.8,Cloudy,Jam ,motorcycle ,Metropolitian ,110,Jewelry
178,35,4.9,Fog,Jam ,motorcycle ,Metropolitian ,215,Skincare
179,39,4.7,Fog,Jam ,motorcycle ,Metropolitian ,210,Home
180,38,3.9,Stormy,Jam ,motorcycle ,Metropolitian ,210,Kitchen
181,35,4.7,Fog,Jam ,motorcycle ,Metropolitian ,170,Snacks
182,29,4.7,Sandstorms,Low ,motorcycle ,Metropolitian ,85,Sports
183,27,4.6,Stormy,Jam ,scooter ,Metropolitian ,125,Pet Supplies
184,38,4.3,Sandstorms,Jam ,motorcycle ,Semi-Urban ,270,Clothing
185,36,4.9,Windy,Low ,motorcycle ,Metropolitian ,105,Electronics
186,26,4.0,Cloudy,High ,motorcycle ,Metropolitian ,170,Snacks
187,26,4.1,Fog,Jam ,motorcycle ,Metropolitian ,180,Pet Supplies
188,36,4.9,Sunny,Medium ,motorcycle ,Metropolitian ,85,Cosmetics
189,21,4.7,Sunny,Low ,motorcycle ,Metropolitian ,80,Electronics
190,35,4.7,Sunny,Jam ,van,Metropolitian ,135,Apparel
191,20,4.5,Fog,High ,motorcycle ,Metropolitian ,130,Kitchen
192,23,4.6,Fog,Jam ,motorcycle ,Metropolitian ,230,Home
193,37,5.0,Sunny,Jam ,motorcycle ,Metropolitian ,145,Sports
194,26,4.8,Sandstorms,Jam ,motorcycle ,Metropolitian ,115,Shoes
195,29,5.0,Sandstorms,Low ,scooter ,Urban ,55,Sports
196,26,4.9,Stormy,Medium ,motorcycle ,Metropolitian ,140,Apparel
197,29,4.8,Cloudy,Jam ,motorcycle ,Metropolitian ,125,Electronics
198,29,4.7,Sandstorms,Low ,motorcycle ,Metropolitian ,55,Snacks
199,21,4.9,Windy,Medium ,scooter ,Metropolitian ,130,Electronics
200,22,4.3,Stormy,Low ,motorcycle ,Metropolitian ,115,Apparel
201,31,4.0,Fog,Medium ,motorcycle ,Metropolitian ,195,Kitchen
202,20,4.5,Fog,Low ,motorcycle ,Other,55,Apparel
203,30,3.9,Stormy,Jam ,van,Metropolitian ,160,Apparel
204,36,4.8,Fog,Medium ,motorcycle ,Metropolitian ,215,Shoes
205,24,4.7,Fog,Medium ,scooter ,Metropolitian ,65,Cosmetics
206,32,4.7,Windy,Low ,van,Metropolitian ,125,Jewelry
207,25,5.0,Windy,Medium ,motorcycle ,Metropolitian ,135,Clothing
208,27,4.5,Windy,Medium ,scooter ,Metropolitian ,145,Skincare
209,32,4.1,Sandstorms,Medium ,motorcycle ,Metropolitian ,165,Skincare
210,23,4.7,Fog,Medium ,motorcycle ,Urban ,19,Grocery
211,39,4.4,Sunny,Medium ,motorcycle ,Metropolitian ,165,Shoes
212,20,4.8,Fog,Jam ,motorcycle ,Metropolitian ,140,Apparel
213,20,4.8,Windy,Medium ,van,Other,75,Cosmetics
214,29,4.6,Stormy,Jam ,scooter ,Metropolitian ,145,Skincare
215,26,4.9,Stormy,Low ,scooter ,Metropolitian ,90,Snacks
216,25,5.0,Stormy,Low ,motorcycle ,Metropolitian ,70,Apparel
217,34,4.7,Windy,Medium ,motorcycle ,Metropolitian ,150,Shoes
218,31,4.9,Sunny,High ,motorcycle ,Metropolitian ,140,Toys
219,24,4.7,Fog,Jam ,motorcycle ,Metropolitian ,195,Cosmetics
220,30,4.9,Cloudy,Medium ,motorcycle ,Metropolitian ,150,Skincare
221,36,4.8,Sandstorms,Medium ,motorcycle ,Metropolitian ,180,Apparel
222,36,4.4,Fog,Low ,motorcycle ,Metropolitian ,185,Home
223,26,4.7,Cloudy,Jam ,motorcycle ,Metropolitian ,215,Apparel
224,30,4.6,Sunny,Low ,scooter ,Other,145,Apparel
225,20,4.8,Stormy,Medium ,scooter ,Metropolitian ,125,Shoes
226,33,4.7,Fog,Medium ,van,Urban ,75,Books
227,34,4.0,Windy,Jam ,motorcycle ,Metropolitian ,195,Clothing
228,36,4.6,Windy,Low ,motorcycle ,Metropolitian ,100,Clothing
229,33,4.6,Fog,Low ,motorcycle ,Metropolitian ,75,Apparel
230,22,4.8,Sandstorms,Low ,motorcycle ,Metropolitian ,80,Jewelry
231,38,4.7,Sunny,Low ,scooter ,Metropolitian ,95,Clothing
232,27,4.9,Fog,Low ,scooter ,Metropolitian ,100,Kitchen
233,32,4.8,Sunny,Jam ,scooter ,Metropolitian ,125,Books
234,26,4.8,Cloudy,Jam ,motorcycle ,Metropolitian ,215,Home
235,29,4.5,Windy,Low ,motorcycle ,Urban ,75,Toys
236,31,4.5,Sunny,Jam ,motorcycle ,Urban ,145,Pet Supplies
237,28,4.6,Stormy,High ,motorcycle ,Metropolitian ,70,Outdoors
238,21,4.8,Sunny,Medium ,motorcycle ,Metropolitian ,55,Toys
239,21,4.0,Sandstorms,Low ,motorcycle ,Metropolitian ,95,Clothing
240,30,4.9,Windy,Low ,motorcycle ,Metropolitian ,145,Skincare
241,29,4.7,Cloudy,Medium ,motorcycle ,Urban ,55,Shoes
242,20,4.8,Sunny,High ,motorcycle ,Metropolitian ,70,Sports
243,28,5.0,Windy,Low ,motorcycle ,Urban ,75,Electronics
244,25,4.7,Sandstorms,Low ,motorcycle ,Metropolitian ,16,Grocery
245,38,4.8,Stormy,Low ,motorcycle ,Metropolitian ,100,Apparel
246,39,4.9,Stormy,Low ,motorcycle ,Metropolitian ,130,Pet Supplies
247,26,4.9,Windy,Medium ,scooter ,Metropolitian ,130,Electronics
248,33,4.4,Windy,Jam ,motorcycle ,Urban ,215,Sports
249,24,4.6,Sandstorms,Medium ,motorcycle ,Urban ,125,Home
250,24,4.9,Fog,Medium ,motorcycle ,Metropolitian ,140,Sports
251,33,4.5,Stormy,Low ,scooter ,Metropolitian ,85,Snacks
252,35,4.2,Windy,Jam ,motorcycle ,Metropolitian ,220,Shoes
253,27,4.2,Stormy,Jam ,motorcycle ,Metropolitian ,165,Jewelry
254,29,4.5,Sunny,Medium ,motorcycle ,Metropolitian ,75,Electronics
255,34,4.7,Fog,Low ,scooter ,Metropolitian ,135,Skincare
256,20,4.7,Cloudy,High ,scooter ,Metropolitian ,25,Grocery
257,29,4.8,Sunny,High ,motorcycle ,Metropolitian ,90,Shoes
258,22,4.9,Stormy,Medium ,scooter ,Metropolitian ,105,Kitchen
259,35,4.9,Cloudy,Jam ,motorcycle ,Metropolitian ,53,Grocery
260,32,4.4,Sandstorms,Jam ,motorcycle ,Metropolitian ,210,Kitchen
261,28,4.9,Sunny,Jam ,motorcycle ,Metropolitian ,100,Toys
262,30,4.7,Fog,Low ,scooter ,Metropolitian ,145,Home
263,22,4.7,Stormy,Jam ,scooter ,Urban ,75,Electronics
264,36,4.7,Fog,Medium ,motorcycle ,Metropolitian ,150,Home
265,23,4.8,Windy,Jam ,motorcycle ,Metropolitian ,28,Grocery
266,22,4.8,Stormy,Low ,motorcycle ,Other,19,Grocery
267,29,4.5,Sandstorms,Low ,motorcycle ,Metropolitian ,75,Jewelry
268,34,4.9,Sandstorms,Jam ,motorcycle ,Urban ,250,Snacks
269,38,4.1,Stormy,High ,motorcycle ,Metropolitian ,205,Kitchen
270,35,5.0,Fog,Medium ,motorcycle ,Metropolitian ,185,Pet Supplies
271,38,4.7,Cloudy,Jam ,scooter ,Metropolitian ,140,Home
272,32,4.3,Cloudy,Medium ,scooter ,Metropolitian ,175,Cosmetics
273,20,4.5,Windy,Jam ,motorcycle ,Metropolitian ,135,Home
274,25,4.9,Fog,Jam ,motorcycle ,Metropolitian ,215,Skincare
275,29,4.5,Fog,Low ,scooter ,Other,60,Books
276,32,4.7,Sandstorms,Jam ,scooter ,Metropolitian ,155,Clothing
277,39,4.1,Cloudy,Jam ,motorcycle ,Metropolitian ,195,Clothing
278,31,4.4,Stormy,Jam ,motorcycle ,Urban ,235,Books
279,37,4.5,Fog,Low ,motorcycle ,Urban ,130,Apparel
280,36,4.9,Cloudy,Medium ,van,Metropolitian ,155,Apparel
281,37,3.8,Sandstorms,Jam ,motorcycle ,Metropolitian ,210,Cosmetics
282,38,4.9,Cloudy,High ,scooter ,Metropolitian ,125,Toys
283,37,4.4,Sandstorms,Jam ,motorcycle ,Metropolitian ,195,Cosmetics
284,21,4.9,Fog,Low ,scooter ,Other,105,Snacks
285,35,4.9,Fog,Medium ,van,Metropolitian ,90,Toys
286,22,4.8,Sandstorms,Jam ,scooter ,Urban ,110,Electronics
287,28,4.8,Fog,Low ,motorcycle ,Metropolitian ,115,Home
288,39,4.0,Stormy,Medium ,motorcycle ,Metropolitian ,240,Jewelry
289,29,4.5,Windy,Low ,scooter ,Urban ,65,Home
290,39,4.6,Sandstorms,High ,motorcycle ,Metropolitian ,160,Pet Supplies
291,25,4.9,Sandstorms,Jam ,van,Urban ,80,Kitchen
292,34,5.0,Cloudy,Medium ,van,Urban ,95,Home
293,22,4.8,Sunny,Low ,motorcycle ,Metropolitian ,90,Electronics
294,27,5.0,Windy,Jam ,motorcycle ,Metropolitian ,135,Sports
295,28,4.5,Sunny,Medium ,motorcycle ,Urban ,125,Clothing
296,32,5.0,Stormy,Medium ,scooter ,Metropolitian ,155,Skincare
297,27,4.6,Sunny,Medium ,motorcycle ,Metropolitian ,100,Shoes
298,35,3.9,Windy,Jam ,motorcycle ,Metropolitian ,190,Toys
299,22,4.6,Windy,Low ,motorcycle ,Metropolitian ,95,Snacks
300,35,4.7,Sunny,Jam ,van,Metropolitian ,85,Sports
301,30,4.6,Cloudy,Low ,motorcycle ,Urban ,120,Cosmetics
302,39,4.8,Fog,High ,scooter ,Urban ,130,Shoes
303,33,4.8,Sandstorms,Medium ,motorcycle ,Metropolitian ,140,Skincare
304,20,4.7,Sandstorms,Medium ,scooter ,Urban ,80,Pet Supplies
305,20,4.7,Fog,Medium ,motorcycle ,Urban ,85,Pet Supplies
306,34,4.2,Windy,Low ,motorcycle ,Urban ,120,Electronics
307,22,4.7,Windy,Medium ,motorcycle ,Metropolitian ,120,Clothing
308,37,4.3,Stormy,High ,scooter ,Metropolitian ,170,Clothing
309,20,4.8,Cloudy,Low ,motorcycle ,Urban ,80,Snacks
310,33,4.9,Windy,Low ,motorcycle ,Metropolitian ,130,Electronics
311,21,5.0,Fog,Medium ,motorcycle ,Metropolitian ,125,Home
312,33,4.6,Fog,Medium ,motorcycle ,Metropolitian ,245,Clothing
313,24,4.6,Windy,Medium ,van,Urban ,24,Grocery
314,36,4.7,Sandstorms,High ,scooter ,Metropolitian ,160,Skincare
315,30,4.6,Sunny,Medium ,motorcycle ,Metropolitian ,26,Grocery
316,32,4.9,Sandstorms,Low ,scooter ,Metropolitian ,120,Jewelry
317,28,4.6,Stormy,Jam ,van,Metropolitian ,80,Toys
318,21,4.7,Windy,Jam ,scooter ,Metropolitian ,135,Home
319,39,4.9,Fog,High ,motorcycle ,Metropolitian ,125,Snacks
320,32,4.7,Cloudy,Low ,motorcycle ,Metropolitian ,130,Shoes
321,20,4.5,Sandstorms,Jam ,scooter ,Urban ,125,Home
322,36,5.0,Fog,Low ,scooter ,Urban ,15,Grocery
323,28,4.8,Sunny,Low ,scooter ,Urban ,90,Jewelry
324,32,4.5,Fog,Jam ,motorcycle ,Metropolitian ,150,Electronics
325,39,4.4,Cloudy,Jam ,scooter ,Metropolitian ,230,Toys
326,30,4.7,Windy,Low ,motorcycle ,Metropolitian ,24,Grocery
327,32,4.4,Sandstorms,Medium ,motorcycle ,Metropolitian ,37,Grocery
328,23,4.6,Windy,Jam ,motorcycle ,Metropolitian ,135,Home
329,21,4.8,Windy,Medium ,scooter ,Other,135,Clothing
330,31,4.2,Windy,Medium ,van,Metropolitian ,160,Outdoors
331,37,4.6,Stormy,High ,van,Urban ,140,Books
332,20,4.5,Sandstorms,Jam ,motorcycle ,Metropolitian ,145,Kitchen
333,28,4.5,Sandstorms,Low ,motorcycle ,Metropolitian ,135,Electronics
334,22,4.9,Cloudy,Low ,motorcycle ,Metropolitian ,55,Clothing
335,20,4.7,Cloudy,Medium ,motorcycle ,Urban ,13,Grocery
336,34,4.8,Windy,Low ,scooter ,Metropolitian ,135,Jewelry
337,38,4.8,Windy,High ,scooter ,Metropolitian ,125,Shoes
338,32,4.5,Cloudy,High ,motorcycle ,Metropolitian ,135,Shoes
339,34,4.9,Sunny,Low ,scooter ,Metropolitian ,26,Grocery
340,33,3.9,Windy,Medium ,van,Metropolitian ,160,Apparel
341,34,4.5,Windy,Low ,motorcycle ,Metropolitian ,125,Apparel
342,32,4.6,Stormy,Jam ,motorcycle ,Metropolitian ,160,Kitchen
343,34,4.7,Sunny,Jam ,motorcycle ,Metropolitian ,145,Cosmetics
344,26,4.6,Cloudy,Jam ,scooter ,Metropolitian ,160,Apparel
345,31,4.0,Cloudy,Low ,motorcycle ,Metropolitian ,175,Shoes
346,39,4.8,Sunny,High ,motorcycle ,Metropolitian ,135,Clothing
347,27,4.8,Sunny,Low ,motorcycle ,Metropolitian ,75,Toys
348,32,5.0,Cloudy,Jam ,scooter ,Urban ,135,Shoes
349,32,4.5,Stormy,Medium ,motorcycle ,Metropolitian ,150,Jewelry
350,39,4.1,Sunny,Medium ,motorcycle ,Metropolitian ,160,Pet Supplies
351,36,4.8,Stormy,Low ,van,Metropolitian ,125,Clothing
352,37,4.1,Windy,Medium ,motorcycle ,Metropolitian ,190,Electronics
353,37,4.8,Fog,Jam ,scooter ,Metropolitian ,130,Apparel
354,38,3.7,Stormy,Jam ,motorcycle ,Metropolitian ,155,Electronics
355,28,4.7,Stormy,High ,scooter ,Metropolitian ,140,Shoes
356,34,3.8,Stormy,Medium ,scooter ,Metropolitian ,155,Shoes
357,32,4.9,Cloudy,Low ,motorcycle ,Metropolitian ,145,Skincare
358,22,4.7,Windy,Low ,motorcycle ,Urban ,85,Home
359,31,4.0,Windy,Medium ,motorcycle ,Metropolitian ,225,Skincare
360,27,4.0,Sandstorms,Medium ,motorcycle ,Metropolitian ,170,Shoes
361,29,4.9,Windy,Jam ,scooter ,Metropolitian ,120,Outdoors
362,38,4.8,Sandstorms,Jam ,motorcycle ,Metropolitian ,220,Shoes
363,35,4.8,Cloudy,Jam ,motorcycle ,Metropolitian ,180,Skincare
364,31,4.9,Sunny,Jam ,motorcycle ,Metropolitian ,140,Electronics
365,30,4.3,Windy,Medium ,scooter ,Metropolitian ,185,Apparel
366,24,4.9,Fog,Medium ,motorcycle ,Urban ,10,Grocery
367,33,4.8,Stormy,Low ,motorcycle ,Urban ,115,Sports
